"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","timePeriod","tmax"
32,"Alentejo","Beja","Serpa","Pias",37.7988891601562,7.47694444656372,"agriculture","2014-05-01",13:10:00,0,0,2.6,0,0.0101266266587975,0,"Tarde",247.536855189559
51,"Alentejo","Évora","Reguengos de Monsaraz","Monsaraz",38.4422225952148,7.37944459915161,"agric_burn","2014-03-26",10:47:00,0,0,2e-04,0,1.19545869152264e-06,0,"Manhã",247.536855189559
97,"Alentejo","Setúbal","Santiago do Cacém","Alvalade",37.8302764892578,8.70666694641113,"agriculture","2014-06-05",14:13:00,0,0,0.035,0,0.000865090499868625,0,"Tarde",247.536855189559
122,"Alentejo","Setúbal","Santiago do Cacém","Abela",37.9944458007812,8.47166633605957,"agric_burn","2014-06-06",15:32:00,0,0,0.0991,0,0.0024539816471918,0,"Tarde",247.536855189559
123,"Alentejo","Beja","Serpa","Santa Maria",37.9805564880371,7.64694452285767,"agriculture","2014-06-07",10:50:00,0,0,7,0,0.0272672911322383,0,"Manhã",330
159,"Alentejo","Portalegre","Monforte","Monforte",38.9844436645508,7.42083311080933,"agriculture","2014-05-13",07:45:00,0,0,1e-04,0,0,0,"Manhã",174
161,"Alentejo","Beja","Serpa","Pias",37.9575004577637,7.42305564880371,"agriculture","2014-05-08",17:26:00,0,0,0.1,0,0.000387612753433489,0,"Tarde",247.536855189559
170,"Alentejo","Beja","Castro Verde","Entradas",37.7588882446289,7.93083333969116,"agriculture","2014-05-13",15:55:00,0,0,2.4,0,0.00934750554636842,0,"Tarde",210
172,"Alentejo","Évora","Redondo","Redondo",38.6280555725098,7.56388902664185,"agric_burn","2014-05-11",15:31:00,0,0,0.35,0,0.00418290996163773,0,"Tarde",226
177,"Alentejo","Portalegre","Ponte de Sor","Galveias",39.1586112976074,8.0063943862915,"fire","2014-06-13",13:54:00,1.4587,0,0,1.4587,0.000512869216345612,0,"Tarde",264
179,"Alentejo","Beja","Odemira","Zambujeira do Mar",37.5250015258789,8.77722263336182,"agriculture","2014-06-17",14:58:00,0,0,0.663,0,0.00258083868492147,1,"Tarde",278
181,"Alentejo","Portalegre","Elvas","São Brás e São Lourenço",38.7786102294922,7.20749998092651,"agriculture","2014-05-17",14:25:00,0,0,0.0753,0,2.64416324346566e-05,0,"Tarde",227
185,"Alentejo","Portalegre","Campo Maior","Nossa Senhora da Expectação",39.0088043212891,7.06812715530396,"agriculture","2014-06-14",21:36:00,0,0,0.0207,0,7.24331952332347e-06,0,"Noite",247.536855189559
208,"Alentejo","Beja","Moura","Safara",38.1163902282715,7.25666666030884,"agriculture","2014-06-21",00:50:00,0,0,10.5,0,0.040901910599748,0,"Madrugada",310
209,"Alentejo","Beja","Beja","Santa Maria da Feira",38.026668548584,7.85722208023071,"agriculture","2014-06-21",16:52:00,0,0,1.9,0,0.00739970276529561,1,"Tarde",258
219,"Alentejo","Beja","Mértola","São João dos Caldeireiros",0.626666665077209,0.129722222685814,"agriculture","2014-07-13",17:25:00,0,0,55.2,0,0.215035479227657,0,"Tarde",298
220,"Alentejo","Portalegre","Campo Maior","São João Batista",38.9863891601562,7.11444425582886,"agriculture","2014-03-10",18:30:00,0,0,0.2713,0,9.53586531420061e-05,0,"Noite",160
226,"Alentejo","Beja","Beja","Trindade",37.8702774047852,7.89027786254883,"agriculture","2014-06-15",01:25:00,0,0,6.7,0,0.0260986094635946,1,"Madrugada",262
240,"Alentejo","Setúbal","Sines","Sines",37.9513893127441,8.86083316802979,"firepit","2014-05-16",16:26:00,0,0.0096,0,0.0096,0.000235483087356789,0,"Tarde",210
249,"Alentejo","Beja","Moura","São João Baptista",38.156665802002,7.45861101150513,"agriculture","2014-06-15",19:30:00,0,0,0.1,0,0.000387612753433489,0,"Noite",295
250,"Alentejo","Évora","Vendas Novas","Vendas Novas",38.6336097717285,8.51777744293213,"firepit","2014-06-15",23:12:00,0.09,0,0,0.09,0.00107471736367886,0,"Noite",320
252,"Alentejo","Portalegre","Campo Maior","Nossa Senhora da Expectação",39.0215263366699,6.98113870620728,"agriculture","2014-06-20",12:03:00,0,0,6.8882,0,0.00242197617517497,0,"Tarde",238
